Photo Services Photo Editing,Service
Power/ Pressure Washing,Service
Property Management *Historic*,Service
Security Services,Service
Booking Agency,Service
Hotel Lounge *Historic*,Service
Moving/Transfer Service Goods,Service
Backyard Pay Parking,Service
Photo Services Photo Lab *Historic*,Service
Computer Services,Service
Computer Services Database Management,Service
Computer Services Information,Service
Security Services Security Guard,Service
Funeral Services,Service
Business Services,Service
Computer Services Data Processing,Service
Marine Services Other,Service
Office Appraisal Service,Service
Office Sign Writer,Service
Printing Services Pre-press,Service
Computer Services Analysis,Service
Photo Services Other,Service
Photo Services Photographic Assembly *Historic*,Service
Printing Services Laminating,Service
Beauty Services Clothing/Shoes,Service
Office Translation *Historic*,Service
Public Market Operator-Annual,Service
Community Association Manager *Historic*,Service
Photo Services Photographic Service *Historic*,Service
Talent Agency Other,Service
Funeral Services Undertaker,Service
Office Interpreter/Translator,Service
Printing Services Blueprint,Service
Office Software,Service
Retail Dealer Residential Building,Service
Dairy Delivery Services,Service
Computer Services Graphic Artist,Service
Employment Agency Other,Service
Computer Services Design Company,Service
Repair/ Service/Maintenance Electronics,Service
Motel,Service
Secondary Suite - Permanent Other,Service
Sheet Metal Works Other,Service
Blueprint Printing *Historic*,Service
Warehouse Operator Clothing/Shoes,Service
Photo Services,Service
Community Association Event Coordinator,Service
Office Alarm Monitoring,Service
Office Pre-press,Service
PRIVATE PARKING ENFORCEMENT AGENCY,Service
TEMPORARY SIGN PROVIDER,Service
COMMERCIAL PARKING LOT,Service
TEMPORARY SIGN - NEW DEVELOPMENT,Service
CLOTHING DROP BOX LOCATION PERMIT,Service
ADVERTISING,Service
BILL DISTRIBUTOR,Service
TORONTO TAXICAB OWNER,Service
TAXICAB OWNER,Service
PEDICAB OWNER,Service
Telecommunications Marketing,Service Industry
BOULEVARD MARKETING,Service Industry
Manufacturer - Food,Vending Machine
Office Street Vendor,Vending Machine
Retail Dealer - Food Butcher/Seafood,Vending Machine
Office Mobile Food Vendor *Historic*,Vending Machine
Retail Dealer - Food Pharmacy,Vending Machine
Liquor License Application Food Primary,Vending Machine
Retail Dealer - Food Confections,Vending Machine
Vending Machines,Vending Machine
Vending Machines Newspaper,Vending Machine
Vending Machines Other,Vending Machine
Caterer Catering Truck,Vending Machine
CNIB Concession - Food,Vending Machine
Peddler - Food,Vending Machine
Vending Machines Advertising Agent,Vending Machine
Retail Dealer - Food Flowers,Vending Machine
Retail Dealer - Food Books/Stationary,Vending Machine
Vending Machines Bank Machine,Vending Machine
Manufacturer - Food Other,Vending Machine
SIDEWALK VENDING,Vending Machine
MOBILE VENDING (FOOD TRUCK),Vending Machine
CURBLANE VENDING,Vending Machine
MOBILE VENDING (ICE CREAM TRUCK),Vending Machine
Liquor Establishment Standard Class 1  0-65 Seats,Liquor
Liquor Establishment Standard Class 2  66-150 Seats,Liquor
Liquor Establishment Standard Class 3  151-300 Seats,Liquor
Special Beauty Culturist *Historic*  Esthetics Only,Beauty
Special Beauty Culturist *Historic*  Facials/Esthetics/Manicures/Pedicures,Beauty
Stadium/Concert Hall  *Historic*,Convention Centre
Wholesale  Dealer,Dealer
Liquor Establishment Extended  Class 2  66-150 Seats,Liquor
Liquor Establishment Extended  Class 3  151-300 Seats,Liquor
"Plumber, Sprinkler & Gas Contractor",Household
Special Beauty Culturist *Historic*  Facials & Manicures Only,Beauty
Wholesale  Dealer Consultant,Dealer
Wholesale  Dealer Hardware/Garden Supplies,Dealer
Liquor Establishment Standard Class 4  301-500 Seats,Liquor
Wholesale  Dealer Antique Dealer,Dealer
Liquor Establishment Extended  Class 1  0-65 Seats,Liquor
Wholesale  Dealer Other,Dealer
Liquor Establishment Extended  Class 5  501-950 Seats,Liquor
Liquor Establishment Standard Class 5  501-950 Seats,Liquor
Special Beauty Culturist *Historic*  Esthetics/Manicures/Pedicures,Beauty
Wholesale  Dealer Administration,Dealer
Wholesale  Dealer Garments,Dealer
Wholesale  Dealer Gifts/Novelties,Dealer
"Retail Dealer - Market Outlet > 50,000 sq ft",Dealer
Liquor Establishment Extended  Class 4  301-500 Seats,Liquor
Wholesale  Dealer Flowers,Dealer
Special Beauty Culturist *Historic*  Facials/Manicures/Pedicures,Beauty
Liquor Establishment Extended  Class 7 (Private Club),Liquor
Wholesale  Dealer Furnishings,Dealer
Electrolysis  *Historic*,Other
Special Beauty Culturist *Historic*  Facials Only,Beauty
Wholesale  Dealer Clothing/Shoes,Dealer
Special Beauty Culturist *Historic*  Facials & Esthetics Only,Beauty
Liquor Establishment Extended  Class 6  951 and up Seats,Liquor
Wholesale  Dealer Electronics,Dealer
Special Beauty Culturist *Historic*  Esthetics & Electrolysis Only,Beauty
Wholesale  Dealer Sports & Leisure Equipment,Dealer
Special Beauty Culturist *Historic*  Other,Beauty
Temp Liquor Licence Amendment Class 3  151-300 Seats,Liquor
